cod,bairro,pop,renda_total,renda_pc,pct_negra,pct_branca
431490205000133,Cidade Baixa,448.0,947004.0,2113.848214285714,4.464285714285714,95.3125
431490205000134,Cidade Baixa,313.0,745394.0,2381.450479233227,7.987220447284344,91.69329073482429
431490205000135,Cidade Baixa,178.0,360516.0,2025.370786516854,8.426966292134832,91.01123595505618
431490205000136,Cidade Baixa,231.0,467848.0,2025.3160173160172,9.956709956709958,90.04329004329004
431490205000137,Cidade Baixa,264.0,746313.0,2826.943181818182,6.4393939393939394,91.28787878787878
431490205000138,Cidade Baixa,442.0,894230.0,2023.1447963800906,6.108597285067873,90.72398190045249
431490205000139,Farroupilha,539.0,1637048.0,3037.194805194805,5.009276437847866,94.8051948051948
431490205000140,Farroupilha,422.0,1077553.0,2553.4431279620853,5.213270142180095,93.8388625592417
431490205000141,Santana,481.0,1801799.0,3745.943866943867,4.781704781704782,94.8024948024948
431490205000142,Santana,252.0,539399.0,2140.472222222222,7.5396825396825395,90.07936507936508
431490205000143,Santana,246.0,595022.0,2418.788617886179,4.471544715447155,95.52845528455285
431490205000144,Santana,347.0,630055.0,1815.720461095101,8.645533141210375,89.9135446685879
431490205000145,Santana,529.0,1255506.0,2373.357277882798,10.207939508506616,89.413988657845
431490205000146,Santana,534.0,1415231.0,2650.2453183520597,5.617977528089887,92.32209737827716
431490205000147,Santana,435.0,1080526.0,2483.967816091954,4.597701149425287,94.48275862068965
431490205000148,Santana,309.0,1012858.0,3277.8576051779937,3.559870550161812,96.44012944983818
431490205000149,Santana,629.0,1784078.0,2836.3720190779013,4.133545310015898,95.86645468998411
431490205000150,Santana,461.0,1076445.0,2335.0216919739696,3.2537960954446854,95.87852494577007
431490205000151,Santana,382.0,891594.0,2334.0157068062827,7.853403141361256,92.14659685863874
431490205000152,Santana,416.0,1028305.0,2471.887019230769,3.125,96.875
431490205000153,Santana,604.0,1339483.0,2217.687086092715,4.801324503311259,95.19867549668875
431490205000154,Santana,416.0,821701.0,1975.2427884615386,3.125,95.4326923076923
431490205000155,Santana,499.0,1283165.0,2571.4729458917836,3.006012024048096,96.79358717434869
431490205000156,Santana,388.0,863299.0,2224.9974226804125,4.123711340206185,95.61855670103093
431490205000157,Santana,264.0,673639.0,2551.662878787879,6.8181818181818175,92.8030303030303
431490205000158,Santana,246.0,536760.0,2181.951219512195,3.6585365853658534,95.9349593495935
431490205000159,Santana,293.0,648633.0,2213.764505119454,7.508532423208192,92.4914675767918
431490205000313,Jardim Do Salso,695.0,1421160.0,2044.8345323741007,16.258992805755394,83.45323741007195
431490205000314,Jardim Do Salso,725.0,1739056.0,2398.6979310344827,12.551724137931034,86.75862068965517
431490205000315,Jardim Do Salso,155.0,468550.0,3022.9032258064517,5.161290322580645,94.19354838709677
431490205000316,Jardim Do Salso,381.0,706944.0,1855.4960629921259,6.824146981627297,92.6509186351706
431490205000317,Jardim Do Salso,287.0,397169.0,1383.864111498258,13.937282229965156,84.3205574912892
431490205000318,Jardim Do Salso,496.0,917524.0,1849.8467741935483,5.241935483870968,94.75806451612904
431490205000319,Jardim Do Salso,672.0,696585.0,1036.5848214285713,24.25595238095238,75.29761904761905
431490205000320,Jardim Do Salso,627.0,1392253.0,2220.499202551834,5.103668261562999,94.41786283891547
431490205000321,Jardim Do Salso,367.0,970780.0,2645.1771117166213,9.809264305177113,89.91825613079018
431490205000729,Santa Teresa,652.0,247480.0,379.57055214723925,25.153374233128833,74.69325153374233
431490205000730,Santa Teresa,620.0,231222.0,372.93870967741935,36.935483870967744,63.064516129032256
431490205000731,Santa Teresa,1043.0,381498.0,365.7698945349952,49.08916586768935,50.143815915628
431490205000732,Santa Teresa,784.0,181634.0,231.67602040816325,32.39795918367347,66.83673469387756
431490205000733,Santa Teresa,410.0,609376.0,1486.2829268292683,21.463414634146343,78.29268292682927
431490205000734,Santa Teresa,734.0,558687.0,761.1539509536784,30.381471389645775,69.48228882833789
431490205000735,Santa Teresa,732.0,381540.0,521.2295081967213,38.114754098360656,61.74863387978142
431490205000736,Santa Teresa,789.0,509071.0,645.2103929024081,32.826362484157166,66.15969581749049
431490205000737,Santa Teresa,1036.0,429094.0,414.1833976833977,40.92664092664093,55.5984555984556
431490205001179,Hípica,1328.0,2093449.0,1576.3923192771085,11.596385542168674,88.25301204819277
431490205001180,Hípica,646.0,280062.0,433.53250773993807,26.47058823529412,72.75541795665634
431490205001181,Hípica,629.0,196417.0,312.268680445151,32.273449920508746,67.56756756756756
431490205001182,Hípica,1169.0,804973.0,688.5996578272027,16.937553464499572,83.06244653550043
431490205001183,Hípica,569.0,252719.0,444.1458699472759,15.114235500878733,84.88576449912127
431490205001184,Hípica,591.0,305580.0,517.0558375634517,12.013536379018612,86.97123519458545
431490205001185,Hípica,290.0,325101.0,1121.0379310344827,15.517241379310345,83.44827586206897
431490205001186,Hípica,705.0,937899.0,1330.3531914893617,9.787234042553191,90.2127659574468
431490205001187,Hípica,677.0,842703.0,1244.7607090103397,12.850812407680944,86.55834564254063
431490205000131,Cidade Baixa,503.0,882857.0,1755.1829025844931,5.168986083499006,94.63220675944333
431490205000132,Cidade Baixa,433.0,817104.0,1887.0762124711316,11.085450346420323,88.2217090069284
431490205000160,Santana,480.0,964650.0,2009.6875,4.791666666666667,95.20833333333333
431490205000161,Santana,480.0,1151204.0,2398.3416666666667,8.125,91.66666666666666
431490205000162,Santana,547.0,378796.0,692.4972577696526,42.230347349177336,57.769652650822664
431490205000163,Santana,520.0,823172.0,1583.0230769230768,13.653846153846153,85.38461538461539
431490205000164,Santana,483.0,938881.0,1943.8530020703934,18.219461697722565,81.15942028985508
431490205000165,Santana,536.0,1022605.0,1907.8451492537313,9.701492537313433,90.11194029850746
431490205000166,Santana,432.0,690018.0,1597.263888888889,22.22222222222222,77.77777777777779
431490205000167,Santana,626.0,1392613.0,2224.6214057507987,14.856230031948881,84.34504792332268
431490205000168,Santana,417.0,628584.0,1507.3956834532373,11.750599520383693,88.00959232613909
431490205000169,Santana,348.0,606932.0,1744.057471264368,7.758620689655173,91.0919540229885
431490205000342,Jardim Do Carvalho,628.0,562448.0,895.6178343949044,15.445859872611464,84.55414012738854
431490205000343,Jardim Do Carvalho,676.0,327215.0,484.04585798816566,32.10059171597633,67.75147928994083
431490205000344,Jardim Do Carvalho,1152.0,499516.0,433.6076388888889,35.9375,64.0625
431490205000345,Jardim Do Carvalho,1117.0,546057.0,488.86034019695614,38.94359892569382,60.787824529991056
431490205000346,Jardim Do Carvalho,930.0,589911.0,634.3129032258065,29.139784946236556,70.64516129032258
431490205000347,Jardim Do Carvalho,531.0,431390.0,812.4105461393597,42.56120527306968,56.873822975517896
431490205000348,Jardim Do Carvalho,1267.0,486395.0,383.89502762430936,57.69534333070244,42.22573007103394
431490205000349,Jardim Do Carvalho,618.0,483082.0,781.6860841423949,35.11326860841424,64.72491909385113
431490205000350,Jardim Do Carvalho,1007.0,1139289.0,1131.3694141012909,34.359483614697126,65.64051638530289
431490205000351,Jardim Do Carvalho,970.0,638205.0,657.9432989690722,32.78350515463917,66.28865979381443
431490205000352,Jardim Do Carvalho,403.0,326315.0,809.7146401985111,25.06203473945409,73.94540942928039
431490205000471,Coronel Aparício Borges,1091.0,359990.0,329.9633363886343,46.104491292392304,53.895508707607696
431490205000472,Coronel Aparício Borges,995.0,325671.0,327.3075376884422,38.09045226130653,61.90954773869347
431490205000473,Coronel Aparício Borges,552.0,235463.0,426.56340579710144,43.47826086956522,56.52173913043478
